GRAPHIUM GS07 T480 FULL REISSUE — CONCISE RECEIPT
Date: 2026-08-22

OLD_G09_SHADOW_FUNCTIONAL_EQUIVALENCE=PASS  VERIFIED=YES
NEW_BEHAVIORAL_AUTHORITY=PASS  VERIFIED=YES
NEW_INTEGRATION_AUTHORITY=PASS  VERIFIED=YES
NEW_PACKAGING_RELEASE_AUTHORITY=PASS  VERIFIED=YES
NEW_TRUE_GTK_DESKTOP_AUTHORITY=PASS  VERIFIED=YES
STRUCTURAL_SIMPLIFICATION_IS_NET_REDUCTIVE=PASS  VERIFIED=YES
GS07_T480_REBASELINE=PASS  VERIFIED=YES
GS07_SOURCE_TREE=fc6673e35d4f47bbe74a9a6c0de3a3f44cca8c81  VERIFIED=YES
G10_FROZEN=YES  VERIFIED=YES
G10_CANDIDATE_ATTEMPTS=0/2  VERIFIED=YES
CANDIDATE_R1=NOT_DECLARED  VERIFIED=YES
CANDIDATE_ATTEMPT_CONSUMED=NO  VERIFIED=YES
GIT_MUTATION=NO  VERIFIED=YES
FINAL_PHASE=GS07_T480_REBASELINE_REISSUE_AND_STRUCTURAL_SIMPLIFICATION_PASS_G10_STILL_FROZEN  VERIFIED=YES

ALL_REQUIRED_MARKERS_VERIFIED=PASS
